TF | No. de genes que regula | Genes regulados | + | -
ppGpp | 306 | hisM, agp, cysQ, argI, argS, argT, aroM, bolA, cadA, crp, cspA, dacC, dksA, dnaA, dnaN, fadL, fimB, fis, frr, ftsA, ftsQ, ftsZ, gabT, ggt, mnmG, rsmG, glgA, glgC, glgP, hisP, hmp, hns, ilvA, ilvB, ilvD, ilvE, ilvH, ilvI, ilvM, ilvN, infA, katE, rpoS, leuO, livJ, lrp, lysS, mazG, osmB, osmC, pcnB, phr, pnp, poxB, prfB, priB, pth, pyrB, pyrI, queA, recF, relA, rnpA, rplI, rpmE, rpmH, rpsB, rpsF, rpsO, rpsR, speC, tgt, thrA, thrB, thrC, tpr, treA, trxA, tsf, tufB, yaiA, yajC, ybaA, ybgA, cspD, rluC, yhhA, mioC, argH, leuA, uspE, iraP, ilvL, ivbL, thrL, pyrL, leuL, yghA, dusB, acnA, gabD, gabP, msyB, gluQ, folK, sufA, glgS, uspA, osmY, hdeA, hdeB, yhiD, ychF, dps, csrA, gadB, qorA, hdeD, sra, ycgB, fadD, cfa, ychH, wrbA, gadE, thiQ, thiP, thiB, leuD, leuC, leuB, otsA, otsB, setA, talA, yebF, aidB, yiiS, uspD, rpoE, yjbJ, yehE, yehW, yehX, yehY, osmF, yohC, yojI, sgrR, efp, tktB, prfC, rssB, hisJ, hisQ, narU, cbpA, cbpM, uspB, dtpB, mdtE, mdtF, gadX, treF, rseA, lhgD, yiaG, grxB, yccJ, ybeL, alaT, alaU, alaV, argX, glnU, glnV, glnW, glnX, gltT, gltU, gltV, gltW, glyT, hisR, ileT, ileU, ileV, leuT, leuV, leuW, leuX, metT, metU, metV, metZ, proM, rrfA, rrfB, rrfC, rrfD, rrfE, rrfG, rrfH, rrlA, rrlB, rrlC, rrlD, rrlE, rrlG, rrlH, rrsA, rrsB, rrsC, rrsD, rrsE, rrsG, rrsH, rrfF, serW, thrT, thrU, thrV, tyrT, tyrU, tyrV, metW, rmf, gadA, sgrT, ilvX, gadF, idlP, ytiC, ytiD, csrB, csrC, tff, isrC, sroA, sroD, ecnB, sgrS, yahO, yajO, glsA, ybaT, ybdK, ybgS, ybhN, clsB, ybhP, ybjP, ftsK, ycaP, csgI, yccU, csgG, csgF, csgE, csgD, ariR, ydcK, ydcL, curA, adhP, gadC, tam, ynfD, sodC, ldtE, sufE, sufS, sufD, sufC, sufB, yniA, yeaG, yeaH, yeaQ, yoaC, yebV, uspC, yedP, hchA, flu, yegP, fbaB, elaB, yfcZ, rseC, rseB, glaH, kbp, yqaE, dkgA, patA, yqjF, yhbO, yhcO, fkpA, ysgA, blc, yjfY, yjgH, iraD, ilvG | 194 | 112
AcnB | 1 | acnB | 1 | 0
DicF | 4 | ftsZ, manX, pykA, xylR | 0 | 4
DsrA | 10 | hns, rpoS, lrp, rbsA, rbsB, rbsC, rbsD, rbsK, rbsR, rbsZ | 1 | 9
DeaD | 1 | ldtD | 1 | 0
Hfq | 6 | manX, hpf, ptsN, cirA, mutS, oppA | 1 | 5
Pnp | 1 | pnp | 0 | 1
RplA | 6 | rplA, rplJ, rplK, rplL, rpoB, rpoC | 0 | 6
RplD | 1 | tnaA | 0 | 1
RplM | 2 | rplM, rpsI | 0 | 2
RplT | 2 | rplT, rpmI | 0 | 2
RplY | 1 | rplY | 0 | 1
RpmE | 1 | rpmE | 0 | 1
RpsA | 5 | fis, manY, pnp, rpsA, rpsO | 4 | 1
RpsB | 3 | rpsB, tsf, tff | 0 | 3
RpsD | 4 | rplQ, rpsD, rpsK, rpsM | 0 | 4
RpsG | 4 | fusA, rpsG, rpsL, tufA | 0 | 4
RpsH | 12 | secY, rplE, rplF, rplN, rplO, rplR, rplX, rpmD, rpsE, rpsH, rpsN, rpmJ | 0 | 12
RpsO | 1 | rpsO | 0 | 1
CsrA | 16 | gadB, gadE, moaA, moaB, moaD, moaE, moaC, rpoE, gadA, idlP, ytiC, ytiD, ymdA, gadC, ydeO, iraD | 6 | 10
GcvB | 60 | aroC, aroP, asd, asnA, asnB, cstA, dppA, gdhA, gltP, icd, ilvB, ilvD, ilvM, kgtP, lrp, map, nlpA, oppA, oppB, oppC, oppD, oppF, oxyR, phoP, phoQ, rbsA, rbsB, rbsC, rbsD, rbsK, rbsR, trpA, trpB, trpC, trpD, trpE, ilvL, trpL, ivbL, inaA, acs, ydeE, panD, purU, hisQ, cycA, dppB, dppC, dppD, dppF, sstT, rbsZ, csgG, csgF, csgE, csgD, tcyJ, rbn, mltC, ysgA | 2 | 58
McaS | 6 | flhC, flhD, csgG, csgF, csgE, csgD | 2 | 4
GadY | 2 | gadW, gadX | 2 | 0
MicF | 7 | cpxR, cpxA, lrp, ompF, oppA, phoE, tcyJ | 1 | 6
OxyS | 10 | fhlA, flhC, flhD, rpoS, nusG, iscA, mepS, iscU, iscS, iscR | 4 | 6
ChiX | 6 | chbC, chiZ, dpiB, dpiA, chiP, chiQ | 0 | 6
SgrS | 10 | asd, manX, manY, manZ, ptsG, purR, yeiB, folE, yigL, adiY | 1 | 9
IstR-1 | 1 | tisB | 0 | 1
RseX | 4 | fimB, ihfB, ompA, ompC | 0 | 4
RydC | 12 | pheA, trpA, trpB, trpC, trpD, trpE, trpL, cfa, csgG, csgF, csgE, csgD | 7 | 5
OhsC | 1 | shoB | 0 | 1
SymR | 1 | symE | 0 | 1
MgrR | 4 | soxS, pitA, eptB, ygdQ | 0 | 4
FnrS | 20 | cydC, glpD, metE, maeA, sodA, sodB, yeiB, folE, cydD, marA, gpmA, yieP, azuC, azuR, yebY, yebZ, yobA, folX, yfcH, iscR | 0 | 20
ArrS | 3 | cfa, gadE, gadF | 3 | 0
SdsN | 3 | hmp, nfsA, narP | 0 | 3
AgrB | 1 | dinQ | 0 | 1
RalA | 1 | ralR | 0 | 1
MicL | 1 | lpp | 0 | 1
CpxQ | 3 | skp, cfa, cpxP | 0 | 3
SdhX | 6 | ackA, fdhE, katG, fdoI, fdoH, fdoG | 0 | 6
C0293 | 3 | fadR, iroK, hcaR | 0 | 3
MalH | 1 | ompC | 0 | 1
FliX | 12 | fliC, rplB, rplC, rplD, rplP, rplV, rplW, rpmC, rpsC, rpsJ, rpsQ, rpsS | 0 | 12
MotR | 12 | fliC, rplB, rplC, rplD, rplP, rplV, rplW, rpmC, rpsC, rpsJ, rpsQ, rpsS | 12 | 0
UhpU | 2 | fliC, lrhA | 1 | 1
AzuR | 2 | cadA, galE | 0 | 2
FimR2 | 5 | fliG, fliR, hofQ, fliI, fliJ | 1 | 4
GlnZ | 2 | glnP, sucA | 0 | 2
AsflhD | 1 | flhD | 0 | 1
StfZ | 1 | ftsZ | 0 | 1
AmeF | 2 | mazE, mazF | 2 | 0
YrdG | 1 | mscL | 0 | 1
RprA | 9 | rpoS, hdeD, narP, lrhA, csgG, csgF, csgE, csgD, dgcM | 1 | 8
RybB | 15 | fadL, nmpC, ompC, ompF, rbsB, sdhC, tsx, ompW, maoP, rluD, fiu, csgG, csgF, csgE, csgD | 1 | 14
SdsR | 5 | mutS, tolC, yeaG, yeaH, yhcB | 0 | 5
CyaR | 9 | rpoS, nadE, hdeD, ompX, yacL, luxS, yliM, yobF, yqaE | 0 | 9
OmrB | 12 | cirA, fepA, flhC, flhD, ompR, ompT, flgM, csgG, csgF, csgE, csgD, dgcM | 0 | 12
SibC | 1 | ibsC | 0 | 1
Spf | 27 | yjiA, araF, ascF, ebgC, fucI, fucK, fucP, galK, gdhA, glpF, gltA, sdhC, maeA, sucC, sthA, caiA, atoD, lldP, dppB, gss, xylF, nanT, puuE, paaK, ytfJ, nanC, srlA | 2 | 25
MicA | 18 | fimB, lamB, ompA, pal, phoP, phoQ, tolB, tsx, ompW, ompX, ygiM, cpoB, yliM, ecnB, ldtC, gloA, lpxT, yfeK | 0 | 18
OmrA | 12 | cirA, fepA, flhC, flhD, ompR, ompT, flgM, csgG, csgF, csgE, csgD, dgcM | 0 | 12
SraG | 1 | pnp | 0 | 1
ArcZ | 6 | flhC, flhD, rpoS, mutS, lrhA, eptB | 1 | 5
RyhB | 45 | bfr, cirA, cysE, fumA, fur, hemB, hemH, nirB, sdhA, sdhB, sdhC, sdhD, sodA, sodB, sucA, sucB, sucC, sucD, marA, yieP, nuoM, nuoF, nuoA, nuoB, nuoC, nuoE, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoN, iscA, grxD, acnB, erpA, msrB, uof, sdhX, b0725, shiA, iscU, iscS, iscR | 2 | 43
GlmZ | 2 | glmS, glmU | 2 | 0
MicC | 1 | ompC | 0 | 1
acetyl-CoA carboxyltransferase | 2 | accD, accA | 0 | 2
ribonuclease E | 1 | rne | 0 | 1
